,opDate,rzye,rzmre,rqyl,rqylje,rqmcl,rzrqjyzl
0,2015-06-01,1367127995718,117887770661,627008827,5237617260,1888828181,1372365612978
1,2015-05-29,1348287000435,109545698973,591895544,4975685928,1535238736,1353262686363
2,2015-05-28,1345459596439,161711190822,653062958,5430216405,1479510294,1350889812844
3,2015-05-27,1336990097550,126358447704,751439850,6425385136,1230064283,1343415482686
4,2015-05-26,1329561906147,159094373511,769896709,6488280901,1505908324,1336050187048
5,2015-05-25,1318998299726,164145678044,745828808,6190475546,1748595767,1325188775272
6,2015-05-22,1314567656582,142752614727,665671261,5329555085,1773361484,1319897211667
7,2015-05-21,1321176723760,108553228977,634903922,4925644941,1303497207,1326102368701
8,2015-05-20,1310006880147,117098266840,601080316,4656256937,1687963151,1314663137084
9,2015-05-19,1294245193796,113575243435,614797160,4763472053,2008707627,1299008665849
10,2015-05-18,1278951775452,95383811648,619939863,4622251110,1578107544,1283574026562
11,2015-05-15,1270378616254,103539242662,622531450,4746218114,1692384011,1275124834368
12,2015-05-14,1271467867961,105312775966,727304965,5402256675,1732086628,1276870124636
13,2015-05-13,1265406189486,132209749584,744973638,5472339769,1836400568,1270878529255
14,2015-05-12,1256607720425,136448970581,707971746,5319748801,2148465499,1261927469226
15,2015-05-11,1247505935416,119726264827,628804192,4834763087,2141547740,1252340698503
16,2015-05-08,1245786699057,87812628024,536002927,4135054341,1669321134,1249921753398
17,2015-05-07,1265872162917,94358842320,528167454,4030097633,1586470622,1269902260550
18,2015-05-06,1258820234374,122153633570,647179937,4701559723,1579163978,1263521794097
19,2015-05-05,1244231572418,128460864619,692133030,4992896354,1724892827,1249224468772
20,2015-05-04,1241303319482,116900666542,821124336,5999922775,1694089441,1247303242257
21,2015-04-30,1224334129835,135754031359,783508407,5831675719,1749354418,1230165805554
22,2015-04-29,1221406603476,126739953108,794875454,6021609553,1887770640,1227428213029
23,2015-04-28,1215607398598,148772163843,818516118,6149727519,2090163995,1221757126117
24,2015-04-27,1210543730393,162760454052,829882223,6254062725,1970873725,1216797793118
25,2015-04-24,1192302971884,153156908610,793270872,5965256427,1641802815,1198268228311
26,2015-04-23,1185643651435,171737823864,839707386,6278465187,2013411225,1191922116622
27,2015-04-22,1172665362874,165509139277,841589251,6368406198,2106225741,1179033769072
28,2015-04-21,1153574815097,143192898510,800532646,5961506282,1946106430,1159536321379
29,2015-04-20,1143069525623,165794251895,806776144,5886540287,1954779241,1148956065910
30,2015-04-17,1149157713135,129211438621,819750253,6041055352,1380227173,1155198768487
31,2015-04-16,1157182044282,112006268973,820992013,5973347250,2203963301,1163155391532
32,2015-04-15,1146127306376,127637503244,815236850,5760511452,2243634120,1151887817828
33,2015-04-14,1132444514795,135681414792,808065982,5734278801,2105259947,1138178793596
34,2015-04-13,1112644681454,125462079457,837423227,6012263982,1717712021,1118656945436
35,2015-04-10,1093646777627,120171575492,851628036,6013790547,1903813388,1099660568174
36,2015-04-09,1080032082669,151266260607,950252465,7459280657,1839296323,1087491363326
37,2015-04-08,1063907515309,146795417745,883306430,6090844298,1811107279,1069998359607
38,2015-04-07,1049019510305,135205459177,890246879,6052607373,1812376621,1055072117678
39,2015-04-03,1028339497560,121745692024,833666811,5639393066,1685019881,1033978890626
40,2015-04-02,1019832320645,122445942102,845035143,5605667753,1548304018,1025437988398
41,2015-04-01,1007500876332,112637594862,839075487,5579432794,1729479501,1013080309126
42,2015-03-31,992114591127,116775077460,815494453,5408130188,1326090630,997522721315
43,2015-03-30,987305162447,128248977117,840090452,5489035498,2127987302,992794197945
44,2015-03-27,974695451811,94331337806,742424285,4882309085,1661692649,979577760896
45,2015-03-26,971529344684,117308029200,717948665,4759646631,1763608907,976288991315
46,2015-03-25,960086790787,115371500560,698297120,4643215819,1524507026,964730006606
47,2015-03-24,948928112150,145585328346,689082182,4619080288,1829457216,953547192438
48,2015-03-23,935961490802,122350894415,732427324,4789023959,1690085064,940750514761
49,2015-03-20,927002173004,133491591365,657654705,4317418963,1858440114,931319591967
50,2015-03-19,911756727783,119422295098,614805850,4136003055,1602861352,915892730838
51,2015-03-18,896108504027,123253353097,627925841,4223177943,2044008241,900331681970
52,2015-03-17,881882625541,118453665965,556521021,3731158044,1950507069,885613783585
53,2015-03-16,874850559115,93488482835,529826432,3535076305,1466225810,878385635420
54,2015-03-13,880611781488,76456008406,492300090,3193989076,1428684781,883805770564
55,2015-03-12,878075844620,85412099181,495994833,3182040688,1862531473,881257885308
56,2015-03-11,864004113742,65924942057,458202242,2927592012,1480830901,866931705754
57,2015-03-10,848537789505,68915727800,505009170,3099078967,1633891332,851636868472
58,2015-03-09,834878753182,70291104924,520205890,3353984453,1878488806,838232737635
59,2015-03-06,824379989028,61530416037,529268837,3441280015,1400398864,827821269043
60,2015-03-05,819402239652,70255155893,558295958,3596427868,1277060227,822998667520
61,2015-03-04,811253368861,66225246334,590422635,3800138283,1108455680,815053507144
62,2015-03-03,804100125942,87283032063,561490657,3658347664,1188200050,807758473606
63,2015-03-02,792791389697,79111411070,600182396,3820324241,1086852330,796611713938
64,2015-02-27,780843947820,67295472698,578066058,3643957926,906278384,784487905746
65,2015-02-26,778901920692,70218750802,600194304,3727497308,1245468190,782629418000
66,2015-02-25,770968145360,60092819984,522163877,3277751249,819377339,774245896609
67,2015-02-17,753461212526,49701309648,468094316,3034256889,674412666,756495469415
68,2015-02-16,772980408663,53928574063,506514032,3238037227,860489122,776218445890
69,2015-02-13,779162373527,52535663244,529972301,3311066082,962369402,782473439609
70,2015-02-12,804093283315,49061175820,533390006,3307983650,982933954,807401266965
71,2015-02-11,805111175134,49814292794,552555015,3376239249,1102904755,808487414383
72,2015-02-10,797891845821,49940656430,547550167,3321741382,1402007917,801213587203
73,2015-02-09,786747284226,51281340753,552250455,3292347071,1497271319,790039631297
74,2015-02-06,779641865766,51350016719,564209002,3355007223,1289932980,782996872989
75,2015-02-05,777970437249,70696075163,675814531,3951049404,1324122648,781921486653
76,2015-02-04,774770652233,55998184225,694053449,4075255266,1199049654,778845907499
77,2015-02-03,773741930732,52159764433,687277595,4125153312,1068524030,777867084044
78,2015-02-02,774866786825,47632245458,638069320,3768751438,998229174,778635538263
79,2015-01-30,773977698926,50312558223,690478134,4040912993,914321293,778018611919
80,2015-01-29,777561647997,55046202356,736792799,4327857932,998013384,781889505929
81,2015-01-28,775933490835,63920072891,773840993,4542722686,1190286348,780476213521
82,2015-01-27,773837742011,75031235777,798720421,4699665607,1220933535,778537407618
83,2015-01-26,771373532853,67111894515,823866912,4885928763,1159453953,776259461616
84,2015-01-23,766038511313,82258662501,794384758,4700104444,1307260513,770738615757
85,2015-01-22,761668956446,75064691111,816099513,4785141949,973298500,766454098395
86,2015-01-21,754595954233,91163378655,817893900,4822496958,1722377359,759418451191
87,2015-01-20,750762421151,76513181618,719397938,4089037320,1507143437,754851458471
88,2015-01-19,752047988453,72756876383,695039440,4006316935,1100466344,756054305388
89,2015-01-16,766660200847,83138464387,836900593,5019945559,1212010371,771680146406
90,2015-01-15,762382827637,71147906275,837376405,5061962503,1305319686,767444790140
91,2015-01-14,749750725573,55908600370,819901731,4832460055,1031836955,754583185628
92,2015-01-13,740893116001,52882711315,853669905,4970840174,1100244336,745863956175
93,2015-01-12,735878164519,68855556662,871073168,5080926118,1075613449,740959090637
94,2015-01-09,726400724109,87327038290,918874498,5383417787,1538413338,731784141896
95,2015-01-08,718485280095,72365046460,943391394,5627589892,982279484,724112869987
96,2015-01-07,715729306750,81243060299,999317750,6161617855,1159975687,721890924605
97,2015-01-06,707391292198,98370829909,972732503,5990342373,1251407226,713381634571
98,2015-01-05,700007355731,102462217665,998243783,6127222126,1448182019,706134577857
